Date,Team,Sum_Passing Score
01/01/06,ATL,0.740571862839736
01/01/06,BUF,0.461549300282364
01/01/06,CAR,0.870299523094936
01/01/06,CHI,0.903087590598941
01/01/06,CIN,0.642276471721545
01/01/06,CLE,0.485615685138747
01/01/06,CLT,0.857395916954724
01/01/06,CRD,0.707552537177274
01/01/06,DAL,0.427346192683491
01/01/06,DET,0.767666527152631
01/01/06,GNB,0.588418365765594
01/01/06,HTX,0.795977438251447
01/01/06,JAX,1.10301803942984
01/01/06,KAN,0.718051330301272
01/01/06,MIA,0.675598214285846
01/01/06,MIN,0.872829183610638
01/01/06,NOR,0.520164790514207
01/01/06,NWE,0.879029073577197
01/01/06,NYJ,0.341349698087846
01/01/06,OTI,0.907134284197728
01/01/06,PHI,0.794923809238208
01/01/06,PIT,0.265882435957128
01/01/06,RAM,0.532662314936541
01/01/06,RAV,0.389642735147886
01/01/06,SEA,0.625592445417934
01/01/06,SFO,0.45480018460599
01/01/06,TAM,0.594113347666526
01/01/06,WAS,0.4483957989308
01/01/12,ATL,0.624886072639663
01/01/12,BUF,0.505877053225403
01/01/12,CAR,0.369404938800466
01/01/12,CHI,0.207752262420672
01/01/12,CIN,0.56798744976864
01/01/12,CLE,0.399553852007941
01/01/12,CLT,0.474520254460903
01/01/12,CRD,0.534842984308391
01/01/12,DAL,0.498266413065247
01/01/12,DEN,0.196470151733262
01/01/12,DET,0.982304392273976
01/01/12,GNB,0.943154675584075
01/01/12,HTX,0.677288004386322
01/01/12,JAX,0.30824980223994
01/01/12,KAN,0.86929035355802
01/01/12,MIA,0.407068349395352
01/01/12,MIN,0.508303836528108
01/01/12,NOR,1.08580867026095
01/01/12,NWE,0.774043987473187
01/01/12,NYG,0.717608999111177
01/01/12,NYJ,0.591359366393476
01/01/12,OTI,0.603215399569485
01/01/12,PHI,0.680017638178921
01/01/12,PIT,0.519808836540268
01/01/12,RAI,0.778847088192433
01/01/12,RAM,0.66293857484034
01/01/12,RAV,0.419017051087268
01/01/12,SDG,0.646945591710828
01/01/12,SEA,0.417215542208172
01/01/12,SFO,0.701847576951858
01/01/12,TAM,0.553503749039755
01/01/12,WAS,0.579832383333376
01/01/17,ATL,0.769191485734616
01/01/17,BUF,0.415015893713888
01/01/17,CAR,0.278015265286845
01/01/17,CHI,0.498170135167235
01/01/17,CIN,0.481327753515282
01/01/17,CLE,0.500684592019165
01/01/17,CLT,0.647285275347089
01/01/17,CRD,0.698653612992701
01/01/17,DAL,0.521601328575558
01/01/17,DEN,0.487740266390468
01/01/17,DET,0.606721560868064
01/01/17,GNB,0.765246940404339
01/01/17,HTX,0.669905512124573
01/01/17,JAX,0.574147449396772
01/01/17,KAN,0.514382126744533
01/01/17,MIA,0.557775535799314
01/01/17,MIN,0.764583493360398
01/01/17,NOR,0.661915909116839
01/01/17,NWE,0.831719998246941
01/01/17,NYG,0.398665557120955
01/01/17,NYJ,0.542731704437734
01/01/17,OTI,0.274992984291898
01/01/17,PHI,0.623150422995657
01/01/17,PIT,0.530193401916356
01/01/17,RAI,0.524805433986171
01/01/17,RAM,0.948023394187444
01/01/17,RAV,0.599250735004514
01/01/17,SDG,0.539417940793972
01/01/17,SEA,0.685954195389702
01/01/17,SFO,0.321121354289174
01/01/17,TAM,0.392379725707474
01/01/17,WAS,0.362425119546315
01/01/84,PIT,0.512901326718351
01/01/84,RAI,0.534507672815706
01/01/84,RAM,0.725447711423634
01/01/84,WAS,0.855108995556677
01/01/89,BUF,0.55113926360219
01/01/89,MIN,0.461950727919166
01/01/89,OTI,0.497606434533864
01/01/89,SFO,0.865262926432481
01/01/95,CHI,0.426447401281783
01/01/95,CLE,0.478759552581284
01/01/95,MIN,0.789070936700039
01/01/95,NWE,0.57453230528827
01/02/00,BUF,0.768990194363737
01/02/00,CAR,0.770164503291175
01/02/00,CHI,0.4737796092704
01/02/00,CIN,0.198058452863234
01/02/00,CLT,0.674818010238784
01/02/00,CRD,0.726985693471932
01/02/00,DAL,0.91759987315946
01/02/00,DEN,0.51349680646306
01/02/00,DET,0.743116377659232
01/02/00,GNB,0.631330376517182
01/02/00,JAX,0.715568446397214
01/02/00,KAN,0.767215310339942
01/02/00,MIA,0.750155389109071
01/02/00,MIN,0.275364670531583
01/02/00,NOR,0.407047465661697
01/02/00,NWE,0.518607126372559
01/02/00,NYG,0.739921319610524
01/02/00,NYJ,0.381343557833628
01/02/00,OTI,0.687918725847808
01/02/00,PHI,0.454923728096984
01/02/00,PIT,0.653494619474563
01/02/00,RAI,0.649123219324958
01/02/00,RAM,0.542593691154632
01/02/00,RAV,0.441120173296387
01/02/00,SDG,0.423754337837234
01/02/00,SEA,0.492772123229644
01/02/00,TAM,0.52499659442687
01/02/00,WAS,0.639314749869578
01/02/05,ATL,0.515942390404836
01/02/05,BUF,0.289620135445268
01/02/05,CAR,0.573460993485884
01/02/05,CHI,0.101305382538014
01/02/05,CIN,0.486571675557699
01/02/05,CLE,0.403063598931693
01/02/05,CLT,0.623482482801321
01/02/05,CRD,0.381701072271155
01/02/05,DAL,0.526127502068249
01/02/05,DEN,0.578210951568531
01/02/05,DET,0.737694805093655
01/02/05,GNB,0.794038607951807
01/02/05,HTX,0.454273711019801
01/02/05,JAX,0.322283781304654
01/02/05,KAN,0.599801618091244
01/02/05,MIA,0.301747093676439
01/02/05,MIN,0.635219198122176
01/02/05,NOR,0.383285389525633
01/02/05,NWE,0.671600892046959
01/02/05,NYG,0.506957241152973
01/02/05,NYJ,0.358617241492775
01/02/05,OTI,0.661863695481
01/02/05,PHI,0.594820068918261
01/02/05,PIT,0.329839637766851
01/02/05,RAI,0.207150091251612
01/02/05,RAM,0.788631074413296
01/02/05,RAV,0.461842225702607
01/02/05,SDG,0.684874118857891
01/02/05,SEA,0.390618898657687
01/02/05,SFO,0.490671240992395
01/02/05,TAM,0.277607893627725
01/02/05,WAS,0.408277638142627
01/02/11,ATL,0.953386122069448
01/02/11,BUF,0.376732511378417
01/02/11,CAR,0.690163696869058
01/02/11,CHI,0.294373431685498
01/02/11,CIN,0.693563142206893
01/02/11,CLE,0.83495810570206
01/02/11,CLT,0.752692703510083
01/02/11,CRD,0.714939731842042
01/02/11,DAL,0.448098170886318
01/02/11,DEN,0.463692588458097
01/02/11,DET,0.644205486130902
01/02/11,GNB,0.499142474059447
01/02/11,HTX,0.598604996373635
01/02/11,JAX,0.797620121603974
01/02/11,KAN,0.41115626890661
01/02/11,MIA,0.650000159437981
01/02/11,MIN,0.397447522701316
01/02/11,NOR,0.763851638802723
01/02/11,NWE,0.9762369277574
01/02/11,NYG,0.560572490702144
01/02/11,NYJ,0.850514895644075
01/02/11,OTI,0.769314616997001
01/02/11,PHI,0.287677784002031
