Year,Week,Game.Date,Team,Actual_Team_Points,Predicted_Team_Points,Opponent,Actual_Opponent_Points,Predicted_Opponent_Points,Predicted_Total_Points,Actual_Total_Points,schedule_week,over_under_line
2000,Division,2001-01-07,Tennessee Titans,10,20.0425708121049,Baltimore Ravens,24,21.0727521996755,41.1153230117805,34,Division,34
2000,Wild Card,2000-12-31,Philadelphia Eagles,21,21.3882425897652,Tampa Bay Buccaneers,3,20.4908271146488,41.879069704414,24,Wildcard,34
2000,SuperBowl,2001-01-28,Baltimore Ravens,34,20.2303884728689,New York Giants,7,22.5112865078536,42.7416749807225,41,Superbowl,33
2000,Division,2001-01-06,Oakland Raiders,27,23.5654013277634,Miami Dolphins,0,19.2203537202028,42.7857550479662,27,Division,42
2000,Wild Card,2000-12-30,Miami Dolphins,23,19.4420694077809,Indianapolis Colts,17,24.3770558395856,43.8191252473665,40,Wildcard,42
2000,Division,2001-01-07,New York Giants,20,22.8008477468389,Philadelphia Eagles,10,21.0376028797015,43.8384506265404,30,Division,33.5
2000,Conf. Champ.,2001-01-14,Oakland Raiders,3,23.5435914639821,Baltimore Ravens,16,20.8293730899856,44.3729645539677,19,Conference,38
2000,Division,2001-01-06,Minnesota Vikings,34,21.8739118520245,New Orleans Saints,16,23.5595207918226,45.4334326438471,50,Division,49.5
2000,Conf. Champ.,2001-01-14,New York Giants,41,23.3756565856587,Minnesota Vikings,0,22.580259160737,45.9559157463957,41,Conference,41.5
2000,Wild Card,2000-12-31,Baltimore Ravens,21,21.0251659340831,Denver Broncos,3,25.4217640493458,46.4469299834288,24,Wildcard,41
2001,Wild Card,2002-01-13,Miami Dolphins,3,16.4674152549056,Baltimore Ravens,20,20.1220052243517,36.5894204792574,23,Wildcard,33
2001,Division,2002-01-20,Pittsburgh Steelers,27,19.6528235066048,Baltimore Ravens,10,19.0023866874146,38.6552101940194,37,Division,32
2001,Conf. Champ.,2002-01-27,Pittsburgh Steelers,17,19.6150477087726,New England Patriots,24,20.1153758320831,39.7304235408558,41,Conference,35.5
2001,Division,2002-01-19,Chicago Bears,19,20.051994456699,Philadelphia Eagles,33,19.8203829197691,39.8723773764681,52,Division,32.5
2001,Division,2002-01-19,New England Patriots,16,19.7092204505479,Oakland Raiders,13,22.1461712006908,41.8553916512387,29,Division,41.5
2001,Wild Card,2002-01-12,Oakland Raiders,38,22.3921109231994,New York Jets,24,19.8769785103385,42.269089433538,62,Wildcard,42
2001,Wild Card,2002-01-12,Philadelphia Eagles,31,20.9759391619366,Tampa Bay Buccaneers,9,22.4542352796201,43.4301744415567,40,Wildcard,33
2001,Wild Card,2002-01-13,Green Bay Packers,25,22.47788151521,San Francisco 49ers,15,24.8737791906731,47.351660705883,40,Wildcard,39
2002,Wild Card,2003-01-05,Pittsburgh Steelers,36,21.3322778896372,Cleveland Browns,33,19.2688971291038,40.6011750187411,69,Wildcard,43
2002,Wild Card,2003-01-04,Green Bay Packers,7,20.6664264087157,Atlanta Falcons,27,20.9183038916637,41.5847303003793,34,Wildcard,40.5
2002,Division,2003-01-11,Tennessee Titans,34,19.9386660748419,Pittsburgh Steelers,31,21.7511192076715,41.6897852825133,65,Division,44
2002,Division,2003-01-11,Philadelphia Eagles,20,19.8789130939309,Atlanta Falcons,6,22.0742577656335,41.9531708595644,26,Division,38.5
